timestamp,consumption_mwh
2023-04-01,100938.096
2023-05-01,88485.44099999999
2023-06-01,79144.951
2023-07-01,84573.601
2023-08-01,84754.698
2023-09-01,88270.493
2023-10-01,104159.371
2023-11-01,121609.464
2023-12-01,134311.647
2024-01-01,142191.225
2024-02-01,113634.991
2024-03-01,115122.162
